"","날짜","호선","역번호","역명","구분","X04...05","X05...06","X06...07","X07...08","X08...09","X09...10","X10...11","X11...12","X12...13","X13...14","X14...15","X15...16","X16...17","X17...18","X18...19","X19...20","X20...21","X21...22","X22...23","X23...24","X00...01","X01...02","X02...03","X03...04"
"1","2019-11-01","1호선",150,"서울역","승차",32,438,529,1612,3405,2360,2377,2853,3334,3545,2850,4606,4915,7472,11107,5754,3920,3799,3369,1678,228,2,0,0
"2","2019-11-01","1호선",150,"서울역","하차",2,353,2019,4520,9906,6525,3571,2951,3190,3348,3179,3265,3575,4191,5445,3882,2596,2177,1624,912,478,39,0,0
"3","2019-11-01","1호선",151,"시청","승차",3,89,152,289,435,481,716,1090,1073,1367,1782,2235,2345,3627,7462,2943,2249,2199,1460,640,62,0,0,0
"4","2019-11-01","1호선",151,"시청","하차",0,182,852,2926,9348,4124,2064,1889,1538,1751,1403,1431,1218,1249,1486,816,439,288,296,202,47,1,0,0
"5","2019-11-01","1호선",152,"종각","승차",5,143,161,288,482,631,768,1359,1531,1937,2466,2821,3403,5807,10738,4680,3670,4495,4118,2366,271,1,0,0
"6","2019-11-01","1호선",152,"종각","하차",0,211,1078,4395,13000,6669,2964,2501,2127,2108,1926,1718,1778,2396,3746,2557,935,510,384,299,75,0,0,0
"7","2019-11-01","1호선",153,"종로3가","승차",11,187,154,302,386,550,841,1686,1781,2059,2405,3125,3241,3796,4836,3192,2107,2452,2407,1394,236,6,0,0
"8","2019-11-01","1호선",153,"종로3가","하차",1,127,477,1044,3662,3510,2593,2813,2646,2718,2579,2103,2010,2033,2582,1682,675,512,380,323,143,10,0,0
"9","2019-11-01","1호선",154,"종로5가","승차",2,83,115,219,366,494,843,1262,1583,1868,2303,2479,2656,3583,5246,2709,1782,1565,1094,596,66,1,0,0
"10","2019-11-01","1호선",154,"종로5가","하차",0,175,622,1817,5234,3292,2292,2349,2160,2159,2071,1559,1777,1599,1776,1261,548,341,260,153,73,1,0,0
"11","2019-11-01","1호선",155,"동대문","승차",25,574,434,755,960,843,712,896,892,961,1014,1116,1055,1140,1240,873,664,656,632,389,56,5,0,0
"12","2019-11-01","1호선",155,"동대문","하차",0,91,314,609,1156,1131,1055,1112,1152,1101,1113,1053,962,1125,1184,1283,779,683,676,532,232,7,0,0
"13","2019-11-01","1호선",156,"신설동","승차",18,417,384,915,1328,866,783,867,941,1025,916,1174,1421,1806,3195,1189,671,672,532,276,34,0,0,0
"14","2019-11-01","1호선",156,"신설동","하차",1,100,338,1179,3489,1770,1061,837,800,894,764,878,939,1098,1283,937,648,573,611,498,182,0,0,0
"15","2019-11-01","1호선",157,"제기동","승차",16,201,321,971,1481,922,998,1347,1535,1785,1963,2297,2250,1984,2099,1001,558,455,363,161,32,0,0,0
"16","2019-11-01","1호선",157,"제기동","하차",1,95,329,869,2022,1773,1515,1935,2038,2330,1930,1878,1406,1168,1210,828,505,426,409,343,107,0,0,0
"17","2019-11-01","1호선",158,"청량리(서울시립대입구)","승차",59,436,677,2045,2574,1599,1169,1331,1679,1775,1883,2232,2343,2410,2161,1224,899,782,496,287,44,1,0,0
"18","2019-11-01","1호선",158,"청량리(서울시립대입구)","하차",0,133,472,847,1675,1675,1389,1748,1814,2097,2033,2152,1946,1999,2699,1651,1225,968,1019,721,355,1,0,0
"19","2019-11-01","1호선",159,"동묘앞","승차",5,136,114,304,412,335,309,464,640,990,1052,1164,1295,1327,1208,465,277,225,163,84,12,2,0,0
"20","2019-11-01","1호선",159,"동묘앞","하차",1,37,179,465,1204,725,654,830,973,1122,1133,1048,834,584,474,252,253,235,225,195,112,17,0,0
"21","2019-11-01","2호선",201,"시청","승차",6,60,85,259,416,555,767,1036,1239,1339,1526,2019,2191,4113,9127,2926,1859,1602,1287,614,110,0,0,0
"22","2019-11-01","2호선",201,"시청","하차",1,75,662,2820,11083,3994,1353,1306,1142,1395,1247,1149,1040,1101,1207,739,407,369,365,183,106,9,0,0
"23","2019-11-01","2호선",202,"을지로입구","승차",5,124,132,381,733,1022,1236,1696,1994,2410,2897,3310,3989,6485,14099,6329,5260,4427,3368,1746,252,15,0,0
"24","2019-11-01","2호선",202,"을지로입구","하차",0,111,1069,5260,15972,7090,3722,3441,2571,2711,2398,2500,2382,3003,3535,2305,1172,916,826,562,125,54,0,0
"25","2019-11-01","2호선",203,"을지로3가","승차",1,48,127,297,460,580,686,940,968,1078,1155,1484,1866,3500,6206,2918,1841,1928,1861,1247,307,1,0,0
"26","2019-11-01","2호선",203,"을지로3가","하차",1,87,761,2806,7321,3570,1722,1169,1058,1125,963,999,1090,1298,1979,1532,724,540,443,299,170,5,3,0
"27","2019-11-01","2호선",204,"을지로4가","승차",1,40,75,157,255,446,526,648,710,761,1029,1126,1244,2223,3346,1501,805,707,477,306,70,9,2,0
"28","2019-11-01","2호선",204,"을지로4가","하차",1,60,411,1293,3613,1871,1097,1063,924,876,911,779,786,748,711,527,301,245,196,164,92,17,4,0
"29","2019-11-01","2호선",205,"동대문역사문화공원","승차",17,388,269,381,597,665,759,879,935,961,1207,1430,1982,2233,2881,1757,1361,1246,1196,858,247,2,3,0
"30","2019-11-01","2호선",205,"동대문역사문화공원","하차",2,51,405,1230,2918,1884,1392,1246,1218,1413,1432,1263,1377,1642,1994,2343,1434,1215,983,653,319,35,0,0
"31","2019-11-01","2호선",206,"신당","승차",3,240,453,1334,2159,1253,795,693,774,780,817,865,1106,1298,1648,1024,718,635,461,300,73,1,0,0
"32","2019-11-01","2호선",206,"신당","하차",3,70,271,741,1709,1093,709,707,734,841,823,1000,1003,1335,1939,1500,936,756,822,625,327,6,0,0
"33","2019-11-01","2호선",207,"상왕십리","승차",2,228,505,1883,3028,1481,854,766,709,684,663,804,853,1066,1431,925,554,467,431,182,35,1,0,0
"34","2019-11-01","2호선",207,"상왕십리","하차",0,27,251,499,1694,902,533,477,511,620,634,769,1024,1158,2085,1544,899,844,920,666,349,3,0,0
"35","2019-11-01","2호선",208,"왕십리(성동구청)","승차",28,338,448,1309,2484,1379,853,833,929,996,1089,1185,1629,1831,2139,1322,1175,1289,1411,1074,281,7,0,0
"36","2019-11-01","2호선",208,"왕십리(성동구청)","하차",0,54,260,650,1417,900,576,619,572,753,772,859,982,1571,2908,2185,1100,1035,1021,836,474,25,0,0
"37","2019-11-01","2호선",209,"한양대","승차",0,60,98,272,393,297,436,537,743,772,1131,1244,1409,1948,1750,836,674,649,489,317,86,1,0,0
"38","2019-11-01","2호선",209,"한양대","하차",0,17,314,624,2960,2077,1981,917,1195,981,1013,585,477,692,738,538,275,258,286,193,95,5,0,0
"39","2019-11-01","2호선",210,"뚝섬","승차",0,159,358,1060,1525,846,628,596,688,921,888,1188,1404,2283,5240,2372,1111,1107,871,451,88,1,0,0
"40","2019-11-01","2호선",210,"뚝섬","하차",0,93,607,1317,5912,2962,1169,946,934,1121,933,986,1109,1302,1880,1489,638,604,606,434,191,8,0,0
"41","2019-11-01","2호선",211,"성수","승차",0,220,411,1129,1526,1143,904,1025,1123,1267,1457,1619,1978,4043,9587,3676,2086,1738,1456,674,191,4,0,0
"42","2019-11-01","2호선",211,"성수","하차",0,186,1168,2900,12163,5087,1845,1363,1254,1362,1392,1367,1453,1675,2513,1973,878,823,770,525,371,94,0,0
"43","2019-11-01","2호선",212,"건대입구","승차",15,709,941,2576,4655,2817,1679,1419,1710,1940,2070,2216,2549,3289,4313,3006,3018,3562,4104,3240,848,5,1,0
"44","2019-11-01","2호선",212,"건대입구","하차",1,85,772,1104,3037,2083,1809,1753,2046,2098,2394,2718,3305,4817,8781,7476,3846,3261,2961,2102,816,139,2,0
"45","2019-11-01","2호선",213,"구의(광진구청)","승차",1,545,1102,3140,5524,2943,1274,1118,1073,1182,1065,1114,1211,1591,2081,1096,823,744,677,480,107,0,0,0
"46","2019-11-01","2호선",213,"구의(광진구청)","하차",0,67,442,723,1784,1040,785,769,845,960,1043,1371,1517,2199,3802,3273,1800,1659,1730,1230,487,80,0,0
"47","2019-11-01","2호선",214,"강변(동서울터미널)","승차",0,338,1250,4123,6016,4164,2946,2530,2428,2427,2357,2588,2762,3108,3741,3316,3636,2605,1635,709,147,6,0,0
"48","2019-11-01","2호선",214,"강변(동서울터미널)","하차",0,123,1082,1283,2274,1970,1853,1824,1924,2357,2894,3198,3799,4613,6787,5213,3168,2579,2512,1728,479,36,0,0
"49","2019-11-01","2호선",215,"잠실나루","승차",0,108,523,1911,2497,1392,1001,955,834,857,982,1132,1314,1608,1674,903,687,475,306,179,42,3,0,0
"50","2019-11-01","2호선",215,"잠실나루","하차",0,65,376,972,1820,1140,893,777,842,936,961,929,896,1274,1884,1576,895,784,792,475,243,34,0,0
"51","2019-11-01","2호선",216,"잠실(송파구청)","승차",3,492,1990,5350,8140,5394,3508,3245,3579,4075,4318,5060,5883,8063,11822,7681,6642,6138,5416,2762,283,4,0,0
"52","2019-11-01","2호선",216,"잠실(송파구청)","하차",1,243,1541,3999,9118,7707,4748,4325,4082,4466,4346,5381,5642,7426,11013,8086,4229,3694,4103,2450,924,70,0,0
"53","2019-11-01","2호선",217,"잠실새내","승차",1,187,699,2876,4335,2192,1374,1120,1156,1220,1153,1283,1496,1658,1989,1442,1156,1308,1220,909,247,0,0,0
"54","2019-11-01","2호선",217,"잠실새내","하차",0,42,323,696,1202,1334,859,1003,1236,1407,1392,1613,1886,2361,4370,3651,1886,1614,1545,867,425,30,0,0
"55","2019-11-01","2호선",218,"종합운동장","승차",2,70,272,845,1376,831,468,410,431,416,494,646,763,1062,1006,568,322,325,228,132,47,0,0,0
"56","2019-11-01","2호선",218,"종합운동장","하차",2,43,280,863,1514,576,436,330,456,450,457,477,583,808,1161,975,512,471,477,371,164,14,0,0
"57","2019-11-01","2호선",219,"삼성(무역센터)","승차",12,201,330,822,1110,1023,1102,1661,2166,2654,3397,4430,5495,9093,15155,8780,5742,4548,3600,1215,201,0,0,0
"58","2019-11-01","2호선",219,"삼성(무역센터)","하차",0,231,1796,5682,16551,12044,5132,3884,2991,3539,3285,3096,2819,3361,3901,2506,1055,802,714,496,193,119,0,0
"59","2019-11-01","2호선",220,"선릉","승차",3,218,490,1022,1587,1549,1575,2160,2428,2850,3206,3913,5518,7723,14076,6671,3674,3417,2936,1427,285,0,0,0
"60","2019-11-01","2호선",220,"선릉","하차",0,296,1696,4745,14803,9912,3739,2670,2097,2561,2269,2196,1998,2350,3006,2054,1068,833,839,561,368,42,0,0
"61","2019-11-01","2호선",221,"역삼","승차",0,171,354,738,1314,1151,1100,1609,1885,2237,2532,3462,4047,8330,13708,6355,3274,3373,2420,1110,235,1,0,0
"62","2019-11-01","2호선",221,"역삼","하차",0,373,1626,5594,16654,12218,4598,3111,2398,2574,2429,2212,1974,2424,3377,2655,1092,816,717,531,306,30,0,0
"63","2019-11-01","2호선",222,"강남","승차",7,614,1005,2055,3181,2557,2306,3120,3642,4636,4838,5990,6868,10406,16118,10262,8022,8908,11289,6503,1746,2,0,0
"64","2019-11-01","2호선",222,"강남","하차",2,509,2213,6986,15665,14192,6225,4961,4676,5100,5100,5219,5399,7423,12539,11128,4109,3095,2618,1765,903,74,0,0
"65","2019-11-01","2호선",223,"교대(법원.검찰청)","승차",0,112,537,1290,1951,1427,1327,1516,1521,2083,2447,2490,2771,4518,7091,3337,2290,2604,2642,1083,304,3,0,0
"66","2019-11-01","2호선",223,"교대(법원.검찰청)","하차",0,324,1127,2642,7337,6472,2979,2526,2357,2518,2290,2275,2462,3049,3937,2917,1329,1116,1157,647,300,5,1,0
"67","2019-11-01","2호선",224,"서초","승차",0,57,294,648,1151,912,914,878,1081,1189,1551,1720,2001,3434,5217,2049,1192,1392,970,319,53,4,0,0
"68","2019-11-01","2호선",224,"서초","하차",0,235,792,2159,5857,4513,1925,1125,957,1104,1010,826,911,1126,1296,1001,461,394,479,299,121,4,0,0
"69","2019-11-01","2호선",225,"방배","승차",2,134,397,1201,1676,1372,818,864,902,1183,974,1031,1330,1972,3302,1393,927,968,747,333,93,0,2,0
"70","2019-11-01","2호선",225,"방배","하차",0,189,562,1178,3505,1931,1238,880,804,964,943,889,1041,1378,1691,1680,850,748,905,531,213,5,0,0
"71","2019-11-01","2호선",226,"사당","승차",13,584,956,3518,4900,3225,1931,1746,1916,2181,2289,2131,2402,3318,4726,3205,2768,2797,3507,2762,648,2,0,0
"72","2019-11-01","2호선",226,"사당","하차",3,174,1264,2303,3661,2282,1654,1854,1839,1818,2038,2515,3149,4780,7695,7260,3295,2972,2813,2474,935,74,0,0
"73","2019-11-01","2호선",227,"낙성대","승차",3,481,1121,3870,6225,3569,1647,1285,1398,1488,1441,1400,1637,2065,2691,1559,1093,1086,839,546,151,0,0,0
"74","2019-11-01","2호선",227,"낙성대","하차",0,108,450,859,2014,1544,944,874,907,1055,1277,1355,1777,2334,3676,4168,2249,2121,2243,1789,808,16,0,0
"75","2019-11-01","2호선",228,"서울대입구(관악구청)","승차",207,1192,1836,5972,8915,5263,2736,2222,2542,2956,2546,2864,3274,3892,4817,2925,2289,2310,2211,1369,373,4,0,0
"76","2019-11-01","2호선",228,"서울대입구(관악구청)","하차",1,114,657,1433,3222,3136,2150,1880,2109,2492,2325,2651,3161,4259,6456,7834,3687,3550,3660,2725,1340,211,0,0
"77","2019-11-01","2호선",229,"봉천","승차",7,681,1207,3979,5786,3063,1560,1170,1219,1367,1167,1083,1296,1355,1623,997,646,645,523,295,59,1,0,0
"78","2019-11-01","2호선",229,"봉천","하차",1,82,345,619,1109,846,734,788,794,981,1092,1400,1741,2257,3024,3468,1877,1823,1658,1310,574,14,0,0
"79","2019-11-01","2호선",230,"신림","승차",13,1594,3241,10017,15110,8133,3831,3199,3091,3033,2865,2975,3271,3699,4417,3183,2281,2152,2169,1585,407,3,1,0
"80","2019-11-01","2호선",230,"신림","하차",0,208,856,1626,2952,2304,1722,1779,1861,2362,2716,3458,3860,5949,10023,11968,6329,5882,5320,4772,2003,40,1,0
"81","2019-11-01","2호선",231,"신대방","승차",8,1012,1575,4344,6040,3513,1786,1396,1362,1355,1216,1162,1342,1651,2120,1147,772,664,590,322,106,2,0,0
"82","2019-11-01","2호선",231,"신대방","하차",1,116,426,866,1646,1057,656,701,756,1000,1207,1453,1731,2659,3738,3823,2304,2400,2474,1813,673,11,0,0
"83","2019-11-01","2호선",232,"구로디지털단지","승차",11,1775,2251,6536,8937,5072,2849,2296,2632,2754,2326,2792,3397,5435,11651,5712,3123,2545,2331,1401,358,5,0,0
